customer_id,first_name,last_name,email,ssn,dob,zip,phone,gender
C00001,Uma,Davis,uma.davis1@example.com,859-45-5012,1964-03-24,90210,(892) 958-9935,F
C00002,Sam,Nash,sam.nash2@example.com,130-21-4582,1964-09-20,10001,(774) 403-9928,M
C00003,Henry,Owens,henry.owens3@samplecorp.net,928-10-3615,1994-07-11,94016,(359) 420-6514,F
C00004,Carol,Mitchell,carol.mitchell4@example.com,467-54-5333,2001-01-24,33101,(749) 327-7201,F
C00005,Rosa,Johnson,rosa.johnson5@samplecorp.net,691-34-2139,1952-11-08,43215,(496) 281-4814,F
C00006,Mia,Ingram,mia.ingram6@testmail.org,750-56-3664,1973-06-07,02101,(473) 918-2169,X
C00007,Uma,Foster,uma.foster7@acme.io,267-69-7216,1967-11-23,75201,(424) 901-6313,F
C00008,Henry,Brown,henry.brown8@samplecorp.net,510-44-2084,1963-10-23,30301,(417) 871-9179,M
C00009,Uma,Owens,uma.owens9@acme.io,371-27-5040,1997-09-18,94016,(964) 798-8019,X
C00010,Mia,Lopez,mia.lopez10@acme.io,241-75-9085,1955-01-28,90210,(356) 842-3621,X
C00011,Noah,Thomas,noah.thomas11@example.com,494-58-8668,1983-05-18,55401,(211) 896-2876,X
C00012,Rosa,Zhang,rosa.zhang12@samplecorp.net,887-92-6573,1957-05-14,60601,(664) 203-5315,X
C00013,Yara,Foster,yara.foster13@example.com,991-90-5889,2003-11-17,98101,(403) 356-7126,F
C00014,Rosa,Zhang,rosa.zhang14@example.com,713-51-9005,1951-02-12,80202,(514) 445-1949,F
C00015,Sam,Carter,sam.carter15@example.com,849-72-2133,1998-09-25,60601,(331) 875-8787,X
C00016,Frank,Ingram,frank.ingram16@testmail.org,316-79-4295,1995-05-13,02101,(865) 582-8177,X
C00017,Olivia,Davis,olivia.davis17@acme.io,330-18-6539,1951-10-18,77001,(802) 425-1117,F
C00018,Wendy,Underwood,wendy.underwood18@example.com,334-18-1514,2005-06-03,75201,(443) 485-8953,F
C00019,Rosa,Evans,rosa.evans19@testmail.org,348-70-7669,1962-02-04,02101,(641) 562-7939,M
C00020,Olivia,Young,olivia.young20@example.com,789-93-2612,1953-07-24,30301,(311) 454-4139,F
C00021,Rosa,Owens,rosa.owens21@acme.io,532-33-5563,1979-04-28,80202,(277) 653-2604,F
C00022,Uma,Rivera,uma.rivera22@example.com,195-40-3724,1976-08-16,77001,(610) 260-3697,M
C00023,Alice,Mitchell,alice.mitchell23@samplecorp.net,902-68-5673,1977-12-24,43215,(769) 877-8973,F
C00024,Grace,Johnson,grace.johnson24@acme.io,159-84-9883,1953-12-11,10001,(251) 798-8811,X
C00025,Quinn,Foster,quinn.foster25@example.com,620-20-4044,1954-10-03,02101,(440) 613-2964,X
C00026,Henry,Singh,henry.singh26@example.com,734-20-7868,1992-10-19,75201,(523) 467-4346,X
C00027,Wendy,Klein,wendy.klein27@acme.io,371-60-3144,1992-11-10,33101,(523) 969-2188,F
C00028,Olivia,Thomas,olivia.thomas28@example.com,175-78-4492,1982-05-05,80202,(557) 270-5002,M
C00029,Jack,Foster,jack.foster29@testmail.org,953-79-5956,1989-11-17,10001,(883) 767-5905,X
C00030,David,Evans,david.evans30@samplecorp.net,218-23-3546,1967-05-20,77001,(934) 551-4335,X
C00031,Uma,Ingram,uma.ingram31@testmail.org,357-16-2512,1990-07-27,94016,(245) 203-6464,F
C00032,Uma,Ingram,uma.ingram32@acme.io,859-66-8007,1985-01-04,90210,(907) 352-9938,F
C00033,Liam,Singh,liam.singh33@acme.io,540-26-1685,1969-06-26,55401,(240) 566-4441,X
C00034,Henry,Vance,henry.vance34@example.com,462-81-7658,1989-12-05,80202,(442) 366-3900,M
C00035,Alice,Foster,alice.foster35@samplecorp.net,901-62-5065,1967-03-26,15201,(310) 591-1634,M
C00036,Henry,Green,henry.green36@testmail.org,458-49-4728,1964-01-22,77001,(608) 536-5564,F
C00037,Yara,Ingram,yara.ingram37@samplecorp.net,756-75-7548,1993-09-11,10001,(318) 467-3925,X
C00038,Iris,Brown,iris.brown38@example.com,710-65-6663,1996-06-14,98101,(723) 318-7311,X
C00039,Grace,Ingram,grace.ingram39@example.com,825-65-1027,1983-09-22,15201,(959) 954-4228,M
C00040,Noah,Carter,noah.carter40@samplecorp.net,738-50-3041,1996-05-17,94016,(882) 618-6344,M
C00041,Wendy,Johnson,wendy.johnson41@acme.io,296-63-7211,1993-12-06,98101,(782) 508-7653,X
C00042,Alice,Johnson,alice.johnson42@samplecorp.net,315-65-6279,1979-08-15,02101,(418) 723-8752,X
C00043,Frank,Vance,frank.vance43@example.com,390-75-6491,1955-04-22,94016,(430) 403-3414,F
C00044,Bob,Harris,bob.harris44@testmail.org,725-19-8461,1976-11-19,77001,(935) 913-7291,M
C00045,Mia,Harris,mia.harris45@acme.io,771-98-1090,1998-02-25,20001,(424) 380-9486,M
C00046,Bob,Rivera,bob.rivera46@acme.io,968-25-8478,1958-08-22,75201,(772) 809-6198,M
C00047,Tara,Young,tara.young47@testmail.org,950-80-8305,1960-12-28,33101,(660) 465-5050,X
C00048,Iris,Zhang,iris.zhang48@testmail.org,741-40-5499,1978-02-23,94016,(440) 478-6502,M
C00049,Rosa,Carter,rosa.carter49@acme.io,254-39-7275,1994-03-23,77001,(265) 624-7678,M
C00050,Rosa,Owens,rosa.owens50@testmail.org,163-36-7883,1974-10-23,10001,(983) 789-7232,M
C00051,Alice,Lopez,alice.lopez51@samplecorp.net,871-59-7865,1984-12-24,75201,(817) 425-8999,F
C00052,Iris,Nash,iris.nash52@testmail.org,129-59-6507,1992-11-26,20001,(941) 369-8657,F
C00053,Tara,Rivera,tara.rivera53@example.com,503-85-1444,1955-11-14,60601,(672) 386-1823,M
C00054,Mia,Klein,mia.klein54@acme.io,565-51-6529,1998-07-09,43215,(631) 458-2341,M
C00055,Alice,Young,alice.young55@example.com,458-38-2124,1999-11-02,43215,(231) 453-4266,F
C00056,Tara,Evans,tara.evans56@acme.io,229-70-2874,1986-04-15,15201,(462) 985-7043,F
C00057,Tara,Thomas,tara.thomas57@example.com,896-30-6096,1956-10-01,80202,(519) 789-7149,M
C00058,Wendy,Green,wendy.green58@example.com,706-98-4978,1956-12-25,94016,(900) 814-2983,X
